@N: MF284 |Setting synthesis effort to medium for the design
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_tlto_axi4.v":734:2:734:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.MIV_RV32IMA_L1_AXI_TLTO_AXI4._T_428 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_tlto_axi4.v":734:2:734:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.MIV_RV32IMA_L1_AXI_TLTO_AXI4._T_413 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_55.v":166:2:166:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.error.a.maybe_full with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_4 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_5 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_6 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_16 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_17 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_18 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_19 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_20 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_21 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_22 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_23 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_24 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_25 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_26 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_27 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_28 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_29 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_30 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_31 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_1_0 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_2_0 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_3 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_12 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_9 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_13 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_14 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_0 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_15 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_7 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_update_chain.v":627:2:627:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.dtmInfoChain.regs_8 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_chain.v":491:2:491:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.idcodeChain.regs_29 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_chain.v":491:2:491:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.idcodeChain.regs_30 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\users\public\documents\libero\solution\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_capture_chain.v":491:2:491:7|Found instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.dtm.idcodeChain.regs_31 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
